gene_id,gene_symbol,gene_description
176297,tax-4,Cyclic nucleotide-gated cation channel
79865,TREML2,triggering receptor expressed on myeloid cells like 2
8616267,aph1,gamma-secretase subunit Aph-1
569294,rcor1,REST corepressor 1
852649,COG1,Golgi transport complex subunit COG1
568322,rnf207b,ring finger protein 207b
171941,glh-4,ATP-dependent RNA helicase glh-4
828425,CRK18,cysteine-rich RLK (RECEPTOR-like protein kinase) 18
832150,SPS1F,sucrose phosphate synthase 1F
29447,Msra,methionine sulfoxide reductase A
2539302,SPCC126.09,putative zinc transporter
431769,pak4,p21 protein (Cdc42/Rac)-activated kinase 4
100314008,Mir29b1,microRNA 29b-1
44132,slmo,slowmo
2802,GOLGA3,golgin A3
215384,Fcgbp,Fc fragment of IgG binding protein
553510,st8sia3,"ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 3"
55985,Cxcl13,chemokine (C-X-C motif) ligand 13
843811,QKY,C2 calcium/lipid-binding plant phosphoribosyltransferase family protein
831874,NAKR1,Heavy metal transport/detoxification superfamily protein
35771,lig,lingerer
51524,TMEM138,transmembrane protein 138
150572,SMYD1,SET and MYND domain containing 1
9296,ATP6V1F,ATPase H+ transporting V1 subunit F
503502,crabp2b,"cellular retinoic acid binding protein 2, b"
44275,SoxN,SoxNeuro
3352,HTR1D,5-hydroxytryptamine receptor 1D
338346,Gpr21,G protein-coupled receptor 21
308923,Ahi1,Abelson helper integration site 1
114584,Clic1,chloride intracellular channel 1
9476,NAPSA,napsin A aspartic peptidase
25404,Cav1,caveolin 1
817302,ATC,centroradiali
843827,NdhO,NAD(P)H:plastoquinone dehydrogenase complex subunit O
402893,ikzf5,IKAROS family zinc finger 5
178949,acy-4,Adenylate cyclase
818887,PAR1,phy rapidly regulated 1
818107,AT2G35410,RNA-binding (RRM/RBD/RNP motifs) family protein
701,BUB1B,BUB1 mitotic checkpoint serine/threonine kinase B
23187,PHLDB1,pleckstrin homology like domain family B member 1
2542420,cid1,poly(A) polymerase Cid1
4694,NDUFA1,NADH:ubiquinone oxidoreductase subunit A1
39594,RecQ5,RecQ5 helicase
841984,NDF5,NDH-dependent cyclic electron flow 5
854740,MAM33,Mam33p
175419,mec-12,Detyrosinated tubulin alpha-3 chain
768183,gabra1,gamma-aminobutyric acid type A receptor subunit alpha1
171337,Rap1b,"RAP1B, member of RAS oncogene family"
4851,NOTCH1,notch receptor 1
363288,Kif1a,kinesin family member 1A
184378,stg-2,STarGazin (mammalian calcium channel) homolog
873,CBR1,carbonyl reductase 1
820115,AT3G09580,FAD/NAD(P)-binding oxidoreductase family protein
819339,WRKY23,WRKY DNA-binding protein 23
12022,Barx1,BarH-like homeobox 1
3818,KLKB1,kallikrein B1
854811,YIA6,NAD+ transporter
178847,sut-2,Zinc finger CCCH domain-containing protein 14
51266,CLEC1B,C-type lectin domain family 1 member B
24934,Klrk1,killer cell lectin like receptor K1
175440,mlc-4,Myosin regulatory light chain
851549,SLX5,SUMO-targeted ubiquitin ligase complex subunit SLX5
827414,FIP2,FRIGIDA interacting protein 2
184995,ttm-2,Protein ttm-2
15422,Hoxc13,homeobox C13
176015,rpl-6,60S ribosomal protein L6
34377,Utx,Utx histone demethylase
10603,SH2B2,SH2B adaptor protein 2
8626945,smkA,EVH1 domain-containing protein
2543563,arp8,actin-like protein Arp8
9124,PDLIM1,PDZ and LIM domain 1
8356,H3C12,H3 clustered histone 12
505015,GPR137,G protein-coupled receptor 137
853891,ALY1,Aly1p
947916,bioH,pimeloyl-acyl carrier protein methyl ester esterase
856262,TAZ1,lysophosphatidylcholine acyltransferase
835931,ECT10,evolutionarily conserved C-terminal region 10
179217,mom-2,Protein mom-2
66612,Ormdl3,ORM1-like 3 (S. cerevisiae)
797244,kbtbd13a,kelch repeat and BTB domain containing 13a
2539623,ufd1,putative Cdc48-Npl4-Ufd1 complex subunit Npl4
835158,AT5G50860,Protein kinase superfamily protein
2593,GAMT,guanidinoacetate N-methyltransferase
828723,AT4G26170,transcription factor
31846,Bap111,Brahma associated protein 111kD
854032,RRI2,Rri2p
117024,Crym,"crystallin, mu"
100150939,nes,nestin
37629,inaD,inactivation no afterpotential D
559201,tacr3l,tachykinin receptor 3-like
8616850,stlA,beta-ketoacyl synthase family protein
297994,Bag1,BAG cochaperone 1
842386,FED A,2Fe-2S ferredoxin-like superfamily protein
3930,LBR,lamin B receptor
15163,Hcls1,hematopoietic cell specific Lyn substrate 1
855214,ECM5,Ecm5p
497811,Xdh,xanthine dehydrogenase
20192,Ryr3,ryanodine receptor 3
10519,CIB1,calcium and integrin binding 1
79738,BBS10,Bardet-Biedl syndrome 10
54324,Arhgef5,Rho guanine nucleotide exchange factor (GEF) 5
187335,sulp-5,STAS domain-containing protein
852377,TEC1,Tec1p
295284,Rbm8a,RNA binding motif protein 8A
171846,itx-1,InTestinal NeureXin-like
948174,adeQ,adenine transporter
3772641,Shawn,shawn
823751,AT3G46080,C2H2-type zinc finger family protein
497756,Si,sucrase-isomaltase
947194,hypB,hydrogenase isoenzymes nickel incorporation protein HypB
824902,AT3G57350,Nucleoporin interacting component (Nup93/Nic96-like) family protein
852742,RPL1B,ribosomal 60S subunit protein L1B
177088,Y67D8C.9,Aminopeptidase;Uncharacterized protein
31702,dpr14,defective proboscis extension response 14
842775,BDG1,alpha/beta-Hydrolases superfamily protein
140904,Caln1,calneuron 1
230101,Gba2,glucosidase beta 2
34636,Rab6,Rab6
824783,CAN,Ca-2+ dependent nuclease
174841,mcm-2,DNA helicase;DNA replication licensing factor MCM2
3355013,Gprk1,G protein-coupled receptor kinase 1
11852,Rhob,ras homolog family member B
326142,CG31457,uncharacterized protein
856534,IGO2,phosphatase regulator
25509,Pax6,paired box 6
363425,Cav2,caveolin 2
176239,prx-19,Putative peroxisomal biogenesis factor 19
41360,CG5214,uncharacterized protein
23837,Cfdp1,craniofacial development protein 1
21689,Tekt1,tektin 1
43572,Sry-delta,Serendipity delta
170512,Ifi27,"interferon, alpha-inducible protein 27"
34885,vig,vasa intronic gene
818532,PnsL1,PsbP-like protein 2
842394,AT1G61030,WAPL (Wings apart-like protein regulation of heterochromatin) protein
826893,AT4G12810,F-box family protein
387149,Mir130a,microRNA 130a
180946,sgca-1,CADG domain-containing protein
850492,ZNF1,DNA-binding domain containing protein
946785,pdxB,erythronate-4-phosphate dehydrogenase
5657734,f36,f36
11144,DMC1,DNA meiotic recombinase 1
30101,skia,v-ski avian sarcoma viral oncogene homolog a
850908,ATG38,Atg38p
124,ADH1A,"alcohol dehydrogenase 1A (class I), alpha polypeptide"
22596,Xrcc5,X-ray repair complementing defective repair in Chinese hamster cells 5
368519,stat4,signal transducer and activator of transcription 4
229898,Gbp5,guanylate binding protein 5
504186,Chrna10,"cholinergic receptor, nicotinic, alpha polypeptide 10"
832089,STT3A,staurosporin and temperature sensitive 3-like A
828726,ACS7,1-amino-cyclopropane-1-carboxylate synthase 7
2543644,nxt1,mRNA export receptor Nxt1
831486,ELF9,RNA binding (RRM/RBD/RNP motifs) family protein
67652,Spaca1,sperm acrosome associated 1
821308,AT3G02560,Ribosomal protein S7e family protein
565752,washc4,WASH complex subunit 4
23451,SF3B1,splicing factor 3b subunit 1
20860,Sult1e1,"sulfotransferase family 1E, member 1"
64617,s1pr1,sphingosine-1-phosphate receptor 1
25116,Hsd11b1,hydroxysteroid 11-beta dehydrogenase 1
553582,tusc3,tumor suppressor candidate 3
176519,unc-119,GMP_PDE_delta domain-containing protein;Protein unc-119
13829,Dmtn,dematin actin binding protein
177820,fat-3,Delta(6)-fatty-acid desaturase fat-3;FA_desaturase domain-containing protein
855625,RAS2,Ras family GTPase RAS2
30316,otpb,orthopedia homeobox b
2874590,AN2561.2,hypothetical protein
40308,CSN3,COP9 signalosome subunit 3
25309,Cycs,"cytochrome c, somatic"
855430,CUS2,U2 snRNP complex subunit CUS2
1747,DLX3,distal-less homeobox 3
40168,Rab8,Rab8
84007,C3ar1,complement C3a receptor 1
186110,frm-3,FERM domain-containing protein;Moesin/ezrin/radixin homolog 1
839927,DRT111,D111/G-patch domain-containing protein
27134,TJP3,tight junction protein 3
41150,AP-1mu,"Adaptor Protein complex 1, mu subunit"
8617943,DDB_G0271430,hypothetical protein
2654975,PF3D7_0702500,"Plasmodium exported protein, unknown function"
2218,FKTN,fukutin
829348,AT4G32160,Phox (PX) domain-containing protein
3346167,btsz,bitesize
83450,DRC3,dynein regulatory complex subunit 3
228361,Ambra1,autophagy/beclin 1 regulator 1
393953,prkcbb,"protein kinase C, beta b"
3772427,primo-2,primo-2
175,AGA,aspartylglucosaminidase
81526,Ccn3,cellular communication network factor 3
29288,Rps3a,ribosomal protein S3a
180122,immt-2,MICOS complex subunit MIC60-2
821310,SURF1,Surfeit locus 1 cytochrome c oxidase biogenesis protein
38648,scny,scrawny
837530,SUT4,sucrose transporter 4
851807,GTB1,Gtb1p
191363,ehn-3,Zinc finger protein ehn-3
509,ATP5F1C,ATP synthase F1 subunit gamma
855005,YAP1,DNA-binding transcription factor YAP1
3215,HOXB5,homeobox B5
2768720,Cyp12d1-d,Cyp12d1-d
16531,Kcnma1,"potassium large conductance calcium-activated channel, subfamily M, alpha member 1"
832652,GATA12,GATA transcription factor 12
178280,lin-54,CRC domain-containing protein;Protein lin-54
72043,Sulf2,sulfatase 2
963,CD53,CD53 molecule
856871,YNCE0021C,tRNA
2768853,mei-W68,meiotic W68
71679,Atp5h,"ATP synthase, H+ transporting, mitochondrial F0 complex, subunit D"
114654,Ly6g6d,"lymphocyte antigen 6 complex, locus G6D"
856849,TMN3,Tmn3p
16981,Lrrn3,"leucine rich repeat protein 3, neuronal"
315936,Zbtb38,zinc finger and BTB domain containing 38
850456,CDC50,aminophospholipid translocase regulatory protein CDC50
100005019,dyrk1aa,"dual-specificity tyrosine-(Y)-phosphorylation regulated kinase 1A, a"
948689,hfq,RNA-binding protein Hfq
31659,fz4,frizzled 4
259260,mst1,macrophage stimulating 1
50126,IM4,Immune induced molecule 4
853085,CBP4,Cbp4p
4087,SMAD2,SMAD family member 2
355,FAS,Fas cell surface death receptor
14208,Ppm1g,"protein phosphatase 1G (formerly 2C), magnesium-dependent, gamma isoform"
853798,YNK1,nucleoside diphosphate kinase
175327,pvf-1,PDGF_2 domain-containing protein
8623058,srfA,MADS-box transcription factor
7177,TPSAB1,tryptase alpha/beta 1
820484,HAC5,histone acetyltransferase of the CBP family 5
242384,Lingo2,leucine rich repeat and Ig domain containing 2
41152,CG9393,uncharacterized protein
174289,ubh-4,Ubiquitin carboxyl-terminal hydrolase ubh-4
854553,GPB1,Gpb1p
851442,IWR1,Iwr1p
811315,PF3D7_1227200,potassium channel K1
35942,unpg,unplugged
822092,RLP41,receptor like protein 41
84275,SLC25A33,solute carrier family 25 member 33
29864,Rnf11,ring finger protein 11
1137,CHRNA4,cholinergic receptor nicotinic alpha 4 subunit
8760,CDS2,CDP-diacylglycerol synthase 2
4359,MPZ,myelin protein zero
233833,Tnrc6a,trinucleotide repeat containing 6a
855898,TPK2,cAMP-dependent protein kinase catalytic subunit TPK2
3227,HOXC11,homeobox C11
8751,ADAM15,ADAM metallopeptidase domain 15
541320,itga6b,"integrin, alpha 6b"
65178,Snap91,synaptosome associated protein 91
33434,Slh,SLY-1 homologous
851221,CYS3,cystathionine gamma-lyase CYS3
2539926,SPBC14F5.13c,putative alkaline phosphatase
6045,RNF2,ring finger protein 2
7015,TERT,telomerase reverse transcriptase
449653,stk25a,serine/threonine kinase 25a
4199,ME1,malic enzyme 1
20535,Slc4a2,"solute carrier family 4 (anion exchanger), member 2"
18676,Phf2,PHD finger protein 2
569395,npr3,natriuretic peptide receptor 3
75782,Lca5,Leber congenital amaurosis 5 (human)
24715,Ren,renin
3916,LAMP1,lysosomal associated membrane protein 1
948570,ssb,ssDNA-binding protein
75387,Sirt4,sirtuin 4
829119,AT4G29960,transmembrane protein
8621666,dynE,dynactin 25 kDa subunit
8625973,vatA,vacuolar H+-ATPase A subunit
843456,KCS7,3-ketoacyl-CoA synthase 7
386629,tob1a,"transducer of ERBB2, 1a"
13121,Cyp51,"cytochrome P450, family 51"
11036,GTF2A1L,general transcription factor IIA subunit 1 like
280794,FN1,fibronectin 1
57348,TTYH1,tweety family member 1
176625,ccf-1,CCR4-NOT transcription complex subunit 7
222487,ADGRG3,adhesion G protein-coupled receptor G3
375611,SLC26A5,solute carrier family 26 member 5
35615,Tsp42Ef,Tetraspanin 42Ef
242960,Fbxl5,F-box and leucine-rich repeat protein 5
51621,KLF13,Kruppel like factor 13
508264,AFM,afamin
843849,RRA1,Nucleotide-diphospho-sugar transferase family protein
56318,Acpp,"acid phosphatase, prostate"
839729,DYL1,dormancy-associated protein-like 1
18430,Oxtr,oxytocin receptor
181251,vab-3,Homeobox domain-containing protein
281233,IBSP,integrin binding sialoprotein
947115,tyrA,fused chorismate mutase/prephenate dehydrogenase
230857,Ece1,endothelin converting enzyme 1
51332,SPTBN5,"spectrin beta, non-erythrocytic 5"
81883,nkx2.1,NK2 homeobox 1
834901,AT5G48460,Actin binding Calponin homology (CH) domain-containing protein
2540051,act1,actin Act1
3007,H1-3,"H1.3 linker histone, cluster member"
822257,PIRL2,plant intracellular ras group-related LRR 2
50423,CG13998,uncharacterized protein
43481,alph,alphabet
176825,tpa-1,Protein kinase C-like 1
835,CASP2,caspase 2
32149,SelG,Selenoprotein G
2540915,SPBC800.13,centromere receptor protein cnp20
828889,ISI1,binding protein
853771,YKL091C,phosphatidylinositol/phosphatidylcholine-binding protein
6530,SLC6A2,solute carrier family 6 member 2
174190,aqp-1,AQuaPorin or aquaglyceroporin related
246332,Uhmk1,U2AF homology motif kinase 1
19417,Rasgrf1,RAS protein-specific guanine nucleotide-releasing factor 1
338375,Atp6v1g3,"ATPase, H+ transporting, lysosomal V1 subunit G3"
3565889,crn-3,HRDC domain-containing protein
239559,A4galt,"alpha 1,4-galactosyltransferase"
315191,Fbln1,fibulin 1
9767,JADE3,jade family PHD finger 3
30496,ldha,lactate dehydrogenase A4
2542571,med13,mediator complex subunit Srb9
12695,Patj,"PATJ, crumbs cell polarity complex component"
37815,Alas,Aminolevulinate synthase
170761,Pdzd3,PDZ domain containing 3
2542141,pmc3,mediator complex subunit Pmc3/Med27
315510,Igsf9b,"immunoglobulin superfamily, member 9B"
20537,Slc5a1,"solute carrier family 5 (sodium/glucose cotransporter), member 1"
14629,Gclc,"glutamate-cysteine ligase, catalytic subunit"
2543420,mdm31,putative protein Mdm31
668200,Esp15,exocrine gland secreted peptide 15
856408,MIP6,Mip6p
53321,Cntnap1,contactin associated protein-like 1
828090,RBP-DR1,RNA-binding protein-defense related 1
827971,BPS3,BPS1-like protein
842861,AT1G65490,transmembrane protein
842514,Apr-02,5'adenylylphosphosulfate reductase 2
836448,AT5G63280,C2H2-like zinc finger protein
170952,Prima1,proline rich membrane anchor 1
818339,ACT1,actin 1
947300,rppH,RNA pyrophosphohydrolase
69106,Stoml1,stomatin-like 1
100499514,Mir2861,microRNA 2861
16192,Il5ra,"interleukin 5 receptor, alpha"
833500,PRK1,Leucine-rich repeat protein kinase family protein
851623,DBF4,protein serine/threonine kinase activating protein DBF4
5802861,SPAC1D4.01,hepatocellular carcinoma-associated antigen 59 domain-containing protein
37229,cer,crammer
8620083,abcG18,ABC transporter G family protein
400830,DEFB132,defensin beta 132
40384,SAK,Sak kinase
31686,Ir7a,Ionotropic receptor 7a
2838,GPR15,G protein-coupled receptor 15
838451,AT1G18700,DNAJ heat shock N-terminal domain-containing protein
946238,tcyP,cystine/sulfocysteine:cation symporter
266958,neurod4,neuronal differentiation 4
10309,CCNO,cyclin O
176921,atg-3,Autophagy_act_C domain-containing protein
856173,ARO7,chorismate mutase ARO7
5552,SRGN,serglycin
172488,inx-14,Innexin-14
10699,CORIN,"corin, serine peptidase"
24614,Orm1,orosomucoid 1
3306,HSPA2,heat shock protein family A (Hsp70) member 2
84912,SLC35B4,solute carrier family 35 member B4
15235,Mst1,macrophage stimulating 1 (hepatocyte growth factor-like)
219855,SLC37A2,solute carrier family 37 member 2
170457,s1pr2,sphingosine-1-phosphate receptor 2
835435,VPS26A,vacuolar protein sorting 26A
353229,Sgms1,sphingomyelin synthase 1
855292,GTO3,omega-class glutathione transferase
1523,CUX1,cut like homeobox 1
851082,RPS22B,ribosomal 40S subunit protein S22B
158297,SAXO1,stabilizer of axonemal microtubules 1
821259,KIN10,SNF1 kinase homolog 10
45668,Vha68-1,Vacuolar H[+] ATPase 68kD subunit 1
854527,REV1,deoxycytidyl transferase
853281,HSP150,heat shock protein HSP150
852081,UGO1,Ugo1p
946611,baeS,sensor histidine kinase BaeS
854786,IRR1,Irr1p
821726,ICL,isocitrate lyase
2541714,tsn1,translin
945956,paaC,"phenylacetyl-CoA 1,2-epoxidase, structural subunit"
7220,TRPC1,transient receptor potential cation channel subfamily C member 1
836234,PDCB1,plasmodesmata callose-binding protein 1
245920,Cxcl10,C-X-C motif chemokine ligand 10
78967,Mcam,melanoma cell adhesion molecule
492773,pomk,protein O-mannose kinase
29896,TRA2A,transformer 2 alpha homolog
25108,Avpr2,arginine vasopressin receptor 2
65218,Agap2,"ArfGAP with GTPase domain, ankyrin repeat and PH domain 2"
834477,AT5G44500,Small nuclear ribonucleoprotein family protein
84240,ZCCHC9,zinc finger CCHC-type containing 9
626578,Gbp10,guanylate-binding protein 10
4926,NUMA1,nuclear mitotic apparatus protein 1
187510,egg-2,LDL receptor repeat-containing protein egg-2
327531,enc3,ectodermal-neural cortex 3
843544,AT1G72130,Major facilitator superfamily protein
947534,flgI,flagellar P-ring protein
563523,fgl1b,fibrinogen like 1B
824314,AT3G51510,transmembrane protein
793165,tia1,TIA1 cytotoxic granule-associated RNA binding protein
500929,Tuba1b,"tubulin, alpha 1B"
948230,cbrC,UPF0167 family colicin E2 tolerance protein CbrC
20510,Slc1a1,"solute carrier family 1 (neuronal/epithelial high affinity glutamate transporter, system Xag), member 1"
818189,AT2G36170,60S ribosomal protein L40-1
854213,RAT1,ssRNA exonuclease RAT1
8125,ANP32A,acidic nuclear phosphoprotein 32 family member A
3354992,zyd,zydeco
374986,MIGA1,mitoguardin 1
40279,mTerf3,mitochondrial transcription termination factor 3
298012,Rad23b,"RAD23 homolog B, nucleotide excision repair protein"
945766,fabD,[acyl-carrier-protein] S-malonyltransferase
7189,TRAF6,TNF receptor associated factor 6
831802,MYB3R-5,myb domain protein 3r-5
3564805,fbxl-1,F-box/LRR-repeat protein fbxl-1
51714,SELENOT,selenoprotein T
545389,Cep170,centrosomal protein 170
832075,ASP2,aspartate aminotransferase 2
114425,zeb1b,zinc finger E-box binding homeobox 1b
474335,tll1,tolloid-like 1
175600,wdr-48,WD repeat-containing protein 48 homolog
843314,ATHB13,Homeobox-leucine zipper protein family
3350,HTR1A,5-hydroxytryptamine receptor 1A
853853,ATP7,F1F0 ATP synthase subunit d
856365,AIM17,Aim17p
824936,NTT,C2H2-type zinc finger family protein
810561,PF3D7_1041100,rifin
